name,page_id,party,district
Βαρένυκ Νεοκλέους Ολένα,,ΑΓΡΟΝΟΜΟΣ,Λευκωσία
Ζάβρος Ανδρέας,,ΑΓΡΟΝΟΜΟΣ,Λευκωσία
Κουρέας Αντρέας,,ΑΓΡΟΝΟΜΟΣ,Λευκωσία
Κωνσταντίνου Κώστας,,ΑΓΡΟΝΟΜΟΣ,Λευκωσία
Στεφάνου Στέφανος,107389055063575,ΑΚΕΛ,Λευκωσία
Ανδρέου Μαρίνα,,ΑΚΕΛ,Λευκωσία
Αργυρίδης Μάριος,,ΑΚΕΛ,Λευκωσία
Δαμιανού Άριστος,,ΑΚΕΛ,Λευκωσία
Ευαγόρου Ελένη,,ΑΚΕΛ,Λευκωσία
Θωμά Θωμάς,,ΑΚΕΛ,Λευκωσία
Κούλας Σεβήρος,,ΑΚΕΛ,Λευκωσία
Κωνσταντίνου Κωνσταντίνος,,ΑΚΕΛ,Λευκωσία
Κωνσταντίνου Χριστίνα,,ΑΚΕΛ,Λευκωσία
Λουκαΐδης Γιώργος,,ΑΚΕΛ,Λευκωσία
Μάτσας Ορέστης,,ΑΚΕΛ,Λευκωσία
Πολυκάρπου Χάρης,,ΑΚΕΛ,Λευκωσία
Τριμιθιώτη Μαριλένα,,ΑΚΕΛ,Λευκωσία
Χαραλάμπους Βάκης,,ΑΚΕΛ,Λευκωσία
Χατζηανδρέου Άντρη,,ΑΚΕΛ,Λευκωσία
Χατζηπαύλου Αυγή,,ΑΚΕΛ,Λευκωσία
Χριστοφίδης Χρίστος,,ΑΚΕΛ,Λευκωσία
Χρυσάνθου Κωνσταντίνα,,ΑΚΕΛ,Λευκωσία
Χρυσοβιτσιώτη Ιωάννα,,ΑΚΕΛ,Λευκωσία
Ντε Πέτρο Τσελεστίνα,,ΑΚΡΟ,Λευκωσία
Μιχαηλίδης Οδυσσέας,,ΑΛΜΑ,Λευκωσία
Βασιλείου Ιωάννα,984174121456522,ΑΛΜΑ,Λευκωσία
Ηλιά Στυλιανή,,ΑΛΜΑ,Λευκωσία
Ιερείδης Μιχάλης,,ΑΛΜΑ,Λευκωσία
Ιωάννου Χριστίνα,,ΑΛΜΑ,Λευκωσία
Καμινάρα Ανδρούλλα,1019913721202767,ΑΛΜΑ,Λευκωσία
Κοκκίνου Παρασκευή,,ΑΛΜΑ,Λευκωσία
Κυπριανίδης Κωνσταντίνος,,ΑΛΜΑ,Λευκωσία
Κυπριανού Αναστασία,,ΑΛΜΑ,Λευκωσία
Κυπριανού Κύπρος,,ΑΛΜΑ,Λευκωσία
Κυριακού Δημήτρης,,ΑΛΜΑ,Λευκωσία
Νικηφόρου Μιχάλης,,ΑΛΜΑ,Λευκωσία
Παναγίδου Σταύρια,,ΑΛΜΑ,Λευκωσία
Παντελίδης Μιχάλης,,ΑΛΜΑ,Λευκωσία
Πιτσιάλη Γεωργία,,ΑΛΜΑ,Λευκωσία
Σπαστρής Μιχάλης,,ΑΛΜΑ,Λευκωσία
Στυλιανού Μάριος,1007793342425297,ΑΛΜΑ,Λευκωσία
Χαραλαμπίδου Ειρήνη,,ΑΛΜΑ,Λευκωσία
Χατζηνικολάου Πέτρος,,ΑΛΜΑ,Λευκωσία
Γεωργίου Μαρίνα,,ΑΜΔΗ,Λευκωσία
Γιάσουμη Γιασουμής,,ΑΜΔΗ,Λευκωσία
Γιωρκάς Μηνάς,,ΑΜΔΗ,Λευκωσία
Δαμιανού Ιωάννης,,ΑΜΔΗ,Λευκωσία
Θεράποντος Μάριος,,ΑΜΔΗ,Λευκωσία
Ιωάννου Λάμπρος,,ΑΜΔΗ,Λευκωσία
Κωσταντιάν Μπάρετ,,ΑΜΔΗ,Λευκωσία
Λαούρης Γιάννης,747263451806187,ΑΜΔΗ,Λευκωσία
Λούκα Νίκος,,ΑΜΔΗ,Λευκωσία
Μιτέλλα Έλενα,,ΑΜΔΗ,Λευκωσία
Μιχαήλ Μιχαλάκης,,ΑΜΔΗ,Λευκωσία
Νικολάου Ραφαήλ,,ΑΜΔΗ,Λευκωσία
Παναγή Μάριος,,ΑΜΔΗ,Λευκωσία
Παναγιώτου Φειδίας,,ΑΜΔΗ,Λευκωσία
Πίγκας Ανδρέας,,ΑΜΔΗ,Λευκωσία
Πορτοκαλίδης Κύπρος,,ΑΜΔΗ,Λευκωσία
Σοφοκλέους Μόνικα,,ΑΜΔΗ,Λευκωσία
Σταύρου Μάριος,,ΑΜΔΗ,Λευκωσία
Χρυσάνθου Λοΐζος,,ΑΜΔΗ,Λευκωσία
Αποστολίδης Αλέξανδρος,,ΒΟΛΤ,Λευκωσία
Ατταλίδου Αλεξάνδρα,,ΒΟΛΤ,Λευκωσία
Βασιλείου Σοφία,,ΒΟΛΤ,Λευκωσία
Βελάρης Χαρίλαος,414805981707100,ΒΟΛΤ,Λευκωσία
Βρυωνίδης Φρίξος,,ΒΟΛΤ,Λευκωσία
Δημητριάδου Χριστοδουλίδου Ροδούλα,,ΒΟΛΤ,Λευκωσία
Δρουσιώτης Μακάριος,,ΒΟΛΤ,Λευκωσία
Θεοχαρίδου Δέσποινα,,ΒΟΛΤ,Λευκωσία
Καραγιάννης Αχιλλέας Νικόλαος,,ΒΟΛΤ,Λευκωσία
Κιτής Μιχάλης,,ΒΟΛΤ,Λευκωσία
Κωνσταντή Κώστα,,ΒΟΛΤ,Λευκωσία
Νικολάου Βασίλης,,ΒΟΛΤ,Λευκωσία
Ξάνθου Έφη,,ΒΟΛΤ,Λευκωσία
Παύλου Σάββας,,ΒΟΛΤ,Λευκωσία
Σοφοκλέους Ανδρομάχη,,ΒΟΛΤ,Λευκωσία
Τιρκίδης Ιωάννης,,ΒΟΛΤ,Λευκωσία
Τρύφων Νικόλας,,ΒΟΛΤ,Λευκωσία
Χαραλάμπους Χάρις,,ΒΟΛΤ,Λευκωσία
Χριστουδιά Γκουμουσκούτ Άντρη,,ΒΟΛΤ,Λευκωσία
Κληρίδης Χρίστος,,ΔΑ,Λευκωσία
Κληρίδης Αλέξανδρος,,ΔΑ,Λευκωσία
Αβρααμίδου Έλενα,,ΔΗΠΑ,Λευκωσία
Αντωνίου Ελευθέριος,,ΔΗΠΑ,Λευκωσία
Βραχίμη Έλενα,989853364206023,ΔΗΠΑ,Λευκωσία
Γιαπάτος Φίλιππος,,ΔΗΠΑ,Λευκωσία
Κλεάνθους Μαρίνος,,ΔΗΠΑ,Λευκωσία
Κυπριανού Άννα,,ΔΗΠΑ,Λευκωσία
Κυπριανού Χατζηστυλλή Κυπρούλα,,ΔΗΠΑ,Λευκωσία
Κωνσταντίνου Κωνσταντίνα,,ΔΗΠΑ,Λευκωσία
Μιραλλάης Τάκης,,ΔΗΠΑ,Λευκωσία
Νεοφύτου Γιώργος,,ΔΗΠΑ,Λευκωσία
Νέστορος Νέστορας,,ΔΗΠΑ,Λευκωσία
Νικολάου Θέα,,ΔΗΠΑ,Λευκωσία
Πενηνταέξ Γιώργος,,ΔΗΠΑ,Λευκωσία
Στεφάνου Στέφανος,107389055063575,ΔΗΠΑ,Λευκωσία
Σωφρονίου Κρίστοφερ,,ΔΗΠΑ,Λευκωσία
Τρυφωνίδης Αλέκος,,ΔΗΠΑ,Λευκωσία
Χαπεσιάν Άρι,254590174402343,ΔΗΠΑ,Λευκωσία
Χίνης Κωνσταντίνος,,ΔΗΠΑ,Λευκωσία
Χρυσοστόμου Ελένη,,ΔΗΠΑ,Λευκωσία
Ιωάννου Άγγελος,,ΔΕΚ,Λευκωσία
Κασσιανίδης Σταύρος,,ΔΕΚ,Λευκωσία
Κολίου Ελένη,,ΔΕΚ,Λευκωσία
Μαυρίκιος Μάριος,,ΔΕΚ,Λευκωσία
Παπαριστοτέλους Ελένη,,ΔΕΚ,Λευκωσία
Προκοπίου Προκόπης,,ΔΕΚ,Λευκωσία
Πρωτόπαπας Σωτήρης,,ΔΕΚ,Λευκωσία
Σαββίδης Αλέξιος,102105028687939,ΔΕΚ,Λευκωσία
Σισμάνη Χρυστάλλα,,ΔΕΚ,Λευκωσία
Χαραλάμπους Γεώργιος,,ΔΕΚ,Λευκωσία
Χριστού Κυπριανός,,ΔΕΚ,Λευκωσία
Παπαδόπουλος Νικόλας,,ΔΗΚΟ,Λευκωσία
Αλαμπρίτης Σταύρος,,ΔΗΚΟ,Λευκωσία
Γεωργίου Ανδρέας,1018510061347399,ΔΗΚΟ,Λευκωσία
Γεωργίου Βασίλειος,,ΔΗΚΟ,Λευκωσία
Ερωτοκρίτου Χριστιάνα,771955332942116,ΔΗΚΟ,Λευκωσία
Ευτυχίου Μάριος,,ΔΗΚΟ,Λευκωσία
Ιερείδης Μιχαήλ,,ΔΗΚΟ,Λευκωσία
Κόρτας Κώστας,,ΔΗΚΟ,Λευκωσία
Κουσούλου Μαρία,,ΔΗΚΟ,Λευκωσία
Παλαόντας Στέλιος,,ΔΗΚΟ,Λευκωσία
Παντελίδης Χρύσης,358841031473567,ΔΗΚΟ,Λευκωσία
Παπαδοπούλου Έλενα,,ΔΗΚΟ,Λευκωσία
Παπαπέτρου Χρίστος,,ΔΗΚΟ,Λευκωσία
Προδρόμου Άντρη,,ΔΗΚΟ,Λευκωσία
Σάββα Παναγή Αγγελική,,ΔΗΚΟ,Λευκωσία
Σαββίδης Σάββας,,ΔΗΚΟ,Λευκωσία
Σολωμού Γιώργος,104306170943615,ΔΗΚΟ,Λευκωσία
Φούλη Βερόνικα,,ΔΗΚΟ,Λευκωσία
Φράγκου Αντωνία,1017553231437957,ΔΗΚΟ,Λευκωσία
Ανθούση Αναστασία,,ΔΗΣΥ,Λευκωσία
Δημητρίου Μ. Δημήτρης,,ΔΗΣΥ,Λευκωσία
Δημητρίου Σ. Δημήτρης,,ΔΗΣΥ,Λευκωσία
Ζαμπάς Νεόφυτος,100957049698179,ΔΗΣΥ,Λευκωσία
Ηλιά Μάριος,455929494273423,ΔΗΣΥ,Λευκωσία
Κουρουσίδης Πόλυς,1717368644977910,ΔΗΣΥ,Λευκωσία
Κούσιου Χατζηδημητρίου Έλενα,505174236022056,ΔΗΣΥ,Λευκωσία
Κωνσταντίνου Ανδρέας,1510321672328078,ΔΗΣΥ,Λευκωσία
Μανιταράς Ζαχαρίας,,ΔΗΣΥ,Λευκωσία
Μελετιές Χριστάκης,756933907509993,ΔΗΣΥ,Λευκωσία
Μούντουκκος Κωνσταντίνος,,ΔΗΣΥ,Λευκωσία
Ορφανίδου Σάβια,271120899565258,ΔΗΣΥ,Λευκωσία
Πάλλης Χρίστος,,ΔΗΣΥ,Λευκωσία
Παμπορίδης Γεώργιος,,ΔΗΣΥ,Λευκωσία
Παύλου Τίνα,802383349636152,ΔΗΣΥ,Λευκωσία
Πετρίδης Χαράλαμπος,164689207310799,ΔΗΣΥ,Λευκωσία
Τσάτσου Θεόδωρος,764937596710891,ΔΗΣΥ,Λευκωσία
Χριστοφόρου Χριστόφορος,,ΔΗΣΥ,Λευκωσία
Χρυσάνθου Γεώργιος,,ΔΗΣΥ,Λευκωσία
Αθανασίου Χαράλαμπος,,ΕΔΕΚ,Λευκωσία
Αντωνίου Ειρήνη,,ΕΔΕΚ,Λευκωσία
Ευσταθίου Χριστίνα,,ΕΔΕΚ,Λευκωσία
Ηλιά Μάριος,455929494273423,ΕΔΕΚ,Λευκωσία
Λεβέντης Μάριος,,ΕΔΕΚ,Λευκωσία
Μανουσάκη Κυριακή,,ΕΔΕΚ,Λευκωσία
Μαρκίδης Λευτέρης,,ΕΔΕΚ,Λευκωσία
Μελέτης Θεόδωρος,,ΕΔΕΚ,Λευκωσία
Μιρής Ανδρέας,,ΕΔΕΚ,Λευκωσία
Νεοφύτου Μικαέλλα,,ΕΔΕΚ,Λευκωσία
Ξενοφώντος Ξένιος,,ΕΔΕΚ,Λευκωσία
Πική Λουκία,,ΕΔΕΚ,Λευκωσία
Σολομωνίδης Μορφάκης,100100741536122,ΕΔΕΚ,Λευκωσία
Τσιανάκκας Μάριος,,ΕΔΕΚ,Λευκωσία
Χαννίδης Μάριος,,ΕΔΕΚ,Λευκωσία
Χριστοδούλου Πάμπος,,ΕΔΕΚ,Λευκωσία
Χριστοδούλου Σοφία,,ΕΔΕΚ,Λευκωσία
Χριστοδούλου Τάκης,,ΕΔΕΚ,Λευκωσία
Χριστοφορίδης Απόστολος,,ΕΔΕΚ,Λευκωσία
Χρίστου Χρίστος,,ΕΛΑΜ,Λευκωσία
Αγαπίου Χριστίνα,,ΕΛΑΜ,Λευκωσία
Αντωνίου Σωτήρης,609726422229603,ΕΛΑΜ,Λευκωσία
Γεωργιάδου Ρούλα,,ΕΛΑΜ,Λευκωσία
Γεωργίου Αλέξανδρος,,ΕΛΑΜ,Λευκωσία
Διονυσίου Ανδρούλλα,,ΕΛΑΜ,Λευκωσία
Ιωάννου Παύλος,,ΕΛΑΜ,Λευκωσία
Καϊρίνος Χαράλαμπος,,ΕΛΑΜ,Λευκωσία
Κεμιτζή Ελισάβετ,,ΕΛΑΜ,Λευκωσία
Κουντουρέσιης Πέτρος,,ΕΛΑΜ,Λευκωσία
Κυπριανού Φοίβος,,ΕΛΑΜ,Λευκωσία
Παπαχαραλάμπους Ανδρέας,,ΕΛΑΜ,Λευκωσία
Πελεκάνος Μάριος,,ΕΛΑΜ,Λευκωσία
Πλάτου Ιάκωβος,,ΕΛΑΜ,Λευκωσία
Πουλλικκάς Μάριος,,ΕΛΑΜ,Λευκωσία
Σπανός Σάββας,,ΕΛΑΜ,Λευκωσία
Στυλιανού Λευκή,,ΕΛΑΜ,Λευκωσία
Στυλιανού Στέλιος,966765343181208,ΕΛΑΜ,Λευκωσία
Χατζησυμεού Παναγιώτης,,ΕΛΑΜ,Λευκωσία
Αυγουστή Θεοδόσης,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Βραχίμη Αδάμος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Γερολεμίδης Μάριος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Διαμαντόπουλος Στέλιος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Θεοδώρου Ελευθέριος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Καμιντζής Σταύρος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Κυριακού Γιώργος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Κωνσταντινίδου Γεωργία,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Μακκούλης Πέτρος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Μενελάου Χριστίνα,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Νικολάου Σωκράτης,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Ξενοφώντος Μάριος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Παύλου Παύλος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Πέτρου Ιάκωβος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Πιερέττης Παύλος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Πολυβίου Αντώνης,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Σάββα Σάββας,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Χαραλάμπους Παναγιώτης,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Χατζηπαναγή Αρτέμης,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Λευκωσία
Αφαντίτη Μαρία,,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,Λευκωσία
Ιωάννου Λεωνίδας,,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,Λευκωσία
Ιωάννου Ξένιος,,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,Λευκωσία
Παπαδόπουλος Κίκκος,,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,Λευκωσία
Χατζηχριστοφόρου Μαρία,,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,Λευκωσία
Αριστοτέλους Χαράλαμπος,685381641336480,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Γιάγκου Άδωνις,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Δανιηλίδης Βαλέριος,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Δημητρίου Σταυρούλα,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Θεοφάνους Ανδρέας,104093047863641,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Karahan Oz,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Κολά Μαρία,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Λουκά Νικολέττα,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Λυμπουρή Κοζάκου Έλενα,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Μενελάου Μιχάλης,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Οικονόμου Γιάννος,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Πετρίδου Στέλλα,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Σακαδάκη Αλεξία,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Ταλιώτης Παναγιώτης,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Τριανταφυλλίδου Μαρία,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Τσιμίλλης Κυριάκος,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Χατζηστυλλή Αικατερίνη,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Χρήστου Βιργινία,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Χρίστου Ανδρέας,,ΟΙΚΟΛΟΓΟΙ,Λευκωσία
Ανδρέου Κυριάκος,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Αμίρ Καλαλή Σεγιέτ Δάτης,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Θεοδοσιάδου Μαρία,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Λεβέντη Απολλωνία,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Μακρής Κώστας,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Μαλέκκος Κώστας,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Παπαπέτρου Δημήτρης,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Στυλιανού Στέλιος,966765343181208,ΠΡΑΣΙΝΟΙ,Λευκωσία
Χατζηπαύλου Νικόλας,,ΠΡΑΣΙΝΟΙ,Λευκωσία
Δουλαππάς Μιχάλης,,ΣΗΚΟΥ ΠΑΝΩ,Λευκωσία
Κορνιώτης Μάριος,,ΣΗΚΟΥ ΠΑΝΩ,Λευκωσία
Κυπριανού Κυπρούλλα,,ΣΗΚΟΥ ΠΑΝΩ,Λευκωσία
Κωνσταντινίδης Άγγελος,,ΣΗΚΟΥ ΠΑΝΩ,Λευκωσία
Κωνσταντινίδου Άρτεμις,,ΣΗΚΟΥ ΠΑΝΩ,Λευκωσία
